label,number,directional,street_name,street_type,subaddress_id,subaddress_type,zip,status,lat,lon,x,y
1177 NE 10TH ST,1177,NORTHEAST,10TH,STREET,,,97526,Other,42.4513191542,-123.3124057951,-13727074.2216,5228826.4548999965
1011 NE SAVAGE ST,1011,NORTHEAST,SAVAGE,STREET,,,97526,Other,42.4513095353,-123.3120906068,-13727039.135,5228825.003700003
733 NE RIDDLE DR,733,NORTHEAST,RIDDLE,DRIVE,,,97526,Other,42.449006307,-123.3160803528,-13727483.271499999,5228477.522399999
1117 NE MEMORIAL DR,1117,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4489696601,-123.3151841908,-13727383.5112,5228471.993699998
1112 NE MEMORIAL DR,1112,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4490000994,-123.3157013437,-13727441.080400001,5228476.585900001
740 NE MEMORIAL DR,740,NORTHEAST,MEMORIAL,DRIVE,,,97526,Current,42.4484728021,-123.315731899,-13727444.481800001,5228397.035899997
724 NE MEMORIAL DR,724,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4484739528,-123.316376018,-13727516.184799999,5228397.2095
732 NE MEMORIAL DR,732,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4484756013,-123.3161865454,-13727495.092799999,5228397.4582
736 NE MEMORIAL DR,736,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4484853127,-123.316000321,-13727474.362399999,5228398.923299998
1001 NE MEMORIAL DR,1001,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4483067618,-123.3149630534,-13727358.894299999,5228371.986599997
737 NE MEMORIAL DR,737,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4481644315,-123.315960646,-13727469.945799999,5228350.514300004
749 NE MEMORIAL DR,749,NORTHEAST,MEMORIAL,DRIVE,,,97526,Other,42.4481349768,-123.3156765502,-13727438.3204,5228346.070699997
924 NE CEDAR LN,924,NORTHEAST,CEDAR,LANE,,,97526,Other,42.4482447868,-123.3141646874,-13727270.0206,5228362.6369
926 NE CEDAR LN,926,NORTHEAST,CEDAR,LANE,,,97526,Other,42.4479919043,-123.3142402151,-13727278.4283,5228324.486500002
